[q18-control-k9] n=18 m=62 cap=48 | 126 K5s, 840 K3,3s, 0 sym generators, 4553 clauses, propagator check_at=9
    ... {'checks': 6100000, 'confl': 432252, 'model_rej': 0} 3552s
    ... {'checks': 6150000, 'confl': 433378, 'model_rej': 0} 3574s
    ... {'checks': 6200000, 'confl': 435452, 'model_rej': 0} 3601s
    ... {'checks': 6250000, 'confl': 437109, 'model_rej': 0} 3626s
    ... {'checks': 6300000, 'confl': 438397, 'model_rej': 0} 3649s
    ... {'checks': 6350000, 'confl': 440110, 'model_rej': 0} 3672s
    ... {'checks': 6400000, 'confl': 441754, 'model_rej': 0} 3694s
    ... {'checks': 6450000, 'confl': 443346, 'model_rej': 0} 3717s
    ... {'checks': 6500000, 'confl': 445340, 'model_rej': 0} 3742s
    ... {'checks': 6550000, 'confl': 447142, 'model_rej': 0} 3776s
    ... {'checks': 6600000, 'confl': 448160, 'model_rej': 0} 3797s
    ... {'checks': 6650000, 'confl': 449316, 'model_rej': 0} 3819s
    ... {'checks': 6700000, 'confl': 450237, 'model_rej': 0} 3840s
    ... {'checks': 6750000, 'confl': 451116, 'model_rej': 0} 3860s
    ... {'checks': 6800000, 'confl': 451987, 'model_rej': 0} 3879s
    ... {'checks': 6850000, 'confl': 453439, 'model_rej': 0} 3902s
    ... {'checks': 6900000, 'confl': 454718, 'model_rej': 0} 3928s
    ... {'checks': 6950000, 'confl': 456290, 'model_rej': 0} 3952s
    ... {'checks': 7000000, 'confl': 457822, 'model_rej': 0} 3976s
    ... {'checks': 7050000, 'confl': 459544, 'model_rej': 0} 4000s
    ... {'checks': 7100000, 'confl': 461567, 'model_rej': 0} 4027s
    ... {'checks': 7150000, 'confl': 463701, 'model_rej': 0} 4053s
    ... {'checks': 7200000, 'confl': 465674, 'model_rej': 0} 4079s
    ... {'checks': 7250000, 'confl': 467413, 'model_rej': 0} 4106s
    ... {'checks': 7300000, 'confl': 468867, 'model_rej': 0} 4137s
    ... {'checks': 7350000, 'confl': 470535, 'model_rej': 0} 4161s
    ... {'checks': 7400000, 'confl': 473031, 'model_rej': 0} 4192s
    ... {'checks': 7450000, 'confl': 474948, 'model_rej': 0} 4219s
    ... {'checks': 7500000, 'confl': 477293, 'model_rej': 0} 4251s
    ... {'checks': 7550000, 'confl': 478988, 'model_rej': 0} 4278s
    ... {'checks': 7600000, 'confl': 480903, 'model_rej': 0} 4305s
    ... {'checks': 7650000, 'confl': 482275, 'model_rej': 0} 4329s
    ... {'checks': 7700000, 'confl': 483427, 'model_rej': 0} 4351s
    ... {'checks': 7750000, 'confl': 485239, 'model_rej': 0} 4379s
    ... {'checks': 7800000, 'confl': 486269, 'model_rej': 0} 4400s
    ... {'checks': 7850000, 'confl': 487204, 'model_rej': 0} 4421s
    ... {'checks': 7900000, 'confl': 488100, 'model_rej': 0} 4442s
    ... {'checks': 7950000, 'confl': 489565, 'model_rej': 0} 4467s
    ... {'checks': 8000000, 'confl': 490908, 'model_rej': 0} 4493s
    ... {'checks': 8050000, 'confl': 492188, 'model_rej': 0} 4518s
    ... {'checks': 8100000, 'confl': 493324, 'model_rej': 0} 4541s
    ... {'checks': 8150000, 'confl': 495301, 'model_rej': 0} 4570s
    ... {'checks': 8200000, 'confl': 497342, 'model_rej': 0} 4600s
    ... {'checks': 8250000, 'confl': 498404, 'model_rej': 0} 4625s
    ... {'checks': 8300000, 'confl': 499734, 'model_rej': 0} 4650s
    ... {'checks': 8350000, 'confl': 501136, 'model_rej': 0} 4674s
    ... {'checks': 8400000, 'confl': 502789, 'model_rej': 0} 4702s
    ... {'checks': 8450000, 'confl': 503858, 'model_rej': 0} 4725s
    ... {'checks': 8500000, 'confl': 505061, 'model_rej': 0} 4749s
    ... {'checks': 8550000, 'confl': 506179, 'model_rej': 0} 4776s
    ... {'checks': 8600000, 'confl': 507670, 'model_rej': 0} 4803s
    ... {'checks': 8650000, 'confl': 508567, 'model_rej': 0} 4827s
    ... {'checks': 8700000, 'confl': 509489, 'model_rej': 0} 4850s
    ... {'checks': 8750000, 'confl': 510824, 'model_rej': 0} 4875s
    ... {'checks': 8800000, 'confl': 512061, 'model_rej': 0} 4901s
    ... {'checks': 8850000, 'confl': 513473, 'model_rej': 0} 4928s
    ... {'checks': 8900000, 'confl': 514794, 'model_rej': 0} 4956s
    ... {'checks': 8950000, 'confl': 516483, 'model_rej': 0} 4987s
    ... {'checks': 9000000, 'confl': 517729, 'model_rej': 0} 5013s
    ... {'checks': 9050000, 'confl': 518968, 'model_rej': 0} 5041s
    ... {'checks': 9100000, 'confl': 520538, 'model_rej': 0} 5069s
