# started Sun Aug 30 10:50:03 PDT 2026 — sym-on, nice 15, caffeinate, mem-watchdog 12%
# solver pid 57818
# 13 generators validated (12 transpositions + reflection)
# q18 SYM-ON run — git af6ab9d1ffeab20d53b6f35ccb711624f22e50ad
# input sha256 a755ab950315c52741c75dff92bd282bfbc8a800cdf6eca1477214d7714a0836
[q18-cone-c5-44333-symon] n=18 m=95 cap=48 | 243 K5s, 2502 K3,3s, 13 sym generators, 18205 clauses, propagator check_at=9
    ... {'checks': 7450000, 'confl': 685031, 'model_rej': 0} 8126s
    ... {'checks': 7500000, 'confl': 687949, 'model_rej': 0} 8167s
    ... {'checks': 7550000, 'confl': 689883, 'model_rej': 0} 8219s
    ... {'checks': 7600000, 'confl': 692809, 'model_rej': 0} 8272s
    ... {'checks': 7650000, 'confl': 695185, 'model_rej': 0} 8311s
    ... {'checks': 7700000, 'confl': 697337, 'model_rej': 0} 8348s
    ... {'checks': 7750000, 'confl': 700387, 'model_rej': 0} 8393s
    ... {'checks': 7800000, 'confl': 703175, 'model_rej': 0} 8437s
    ... {'checks': 7850000, 'confl': 705746, 'model_rej': 0} 8478s
    ... {'checks': 7900000, 'confl': 707745, 'model_rej': 0} 8514s
    ... {'checks': 7950000, 'confl': 710275, 'model_rej': 0} 8555s
    ... {'checks': 8000000, 'confl': 712571, 'model_rej': 0} 8595s
    ... {'checks': 8050000, 'confl': 714536, 'model_rej': 0} 8634s
    ... {'checks': 8100000, 'confl': 716441, 'model_rej': 0} 8673s
    ... {'checks': 8150000, 'confl': 719371, 'model_rej': 0} 8720s
    ... {'checks': 8200000, 'confl': 721776, 'model_rej': 0} 8762s
    ... {'checks': 8250000, 'confl': 724056, 'model_rej': 0} 8799s
    ... {'checks': 8300000, 'confl': 726028, 'model_rej': 0} 8832s
    ... {'checks': 8350000, 'confl': 729194, 'model_rej': 0} 8875s
    ... {'checks': 8400000, 'confl': 733140, 'model_rej': 0} 8923s
